TIMESTAMP,NETRAD,G,H,LE
2023-05-11 00:00:00,-94.9,-34.47,-30.43,14.31
2023-05-11 00:30:00,-94.47,-34.88,-53.25,27.71
2023-05-11 01:00:00,-95.92,-35.34,-50.61,22.51
2023-05-11 01:30:00,-95.73,-35.6,-93.83,41.24
2023-05-11 02:00:00,-94.99,-35.73,-65.07,28.0
2023-05-11 02:30:00,-94.64,-35.95,-49.81,22.23
2023-05-11 03:00:00,-92.84,-36.29,-46.71,16.28
2023-05-11 03:30:00,-92.73,-36.55,-41.14,16.61
2023-05-11 04:00:00,-92.04,-36.73,-35.3,10.92
2023-05-11 04:30:00,-89.21,-36.71,-29.06,7.03
2023-05-11 05:00:00,-68.43,-35.23,-40.46,10.57
2023-05-11 05:30:00,-19.79,-32.21,-13.43,16.32
2023-05-11 06:00:00,37.28,-26.85,5.78,38.93
2023-05-11 06:30:00,110.15,-18.29,46.73,92.47
2023-05-11 07:00:00,192.28,-7.9,67.75,138.94
2023-05-11 07:30:00,280.02,3.38,80.6,133.77
2023-05-11 08:00:00,365.53,13.61,131.43,238.39
2023-05-11 08:30:00,444.91,21.74,145.13,281.0
2023-05-11 09:00:00,519.21,29.67,147.39,288.99
2023-05-11 09:30:00,585.76,47.46,180.44,351.11
2023-05-11 10:00:00,639.13,43.8,196.88,395.21
2023-05-11 10:30:00,681.43,63.91,198.6,396.55
2023-05-11 11:00:00,715.33,59.85,174.92,370.27
2023-05-11 11:30:00,731.25,72.18,177.33,375.44
2023-05-11 12:00:00,735.4,67.83,161.57,396.61
2023-05-11 12:30:00,724.4,71.47,147.18,383.98
2023-05-11 13:00:00,699.23,71.6,118.86,391.98
2023-05-11 13:30:00,662.26,71.41,79.42,291.15
2023-05-11 14:00:00,599.5,73.61,85.88,363.17
2023-05-11 14:30:00,536.99,76.66,90.2,443.5
2023-05-11 15:00:00,460.95,75.57,40.53,274.77
2023-05-11 15:30:00,376.82,44.66,22.68,331.41
2023-05-11 16:00:00,286.58,38.37,5.31,335.58
2023-05-11 16:30:00,195.77,20.47,-28.74,403.08
2023-05-11 17:00:00,107.82,2.87,-41.36,185.1
2023-05-11 17:30:00,28.22,-9.7,-69.89,157.2
2023-05-11 18:00:00,-35.88,-17.36,-62.84,90.34
2023-05-11 18:30:00,-80.31,-21.12,-22.69,24.92
2023-05-11 19:00:00,-92.57,-25.78,-21.25,17.87
2023-05-11 19:30:00,-91.32,-30.68,-20.9,13.93
2023-05-11 20:00:00,-87.38,-34.45,-21.61,14.09
2023-05-11 20:30:00,-87.02,-35.87,-33.92,23.93
2023-05-11 21:00:00,-86.79,-35.23,-35.48,14.71
2023-05-11 21:30:00,-86.18,-34.13,-33.04,11.09
2023-05-11 22:00:00,-83.66,-33.37,-9.57,4.33
2023-05-11 22:30:00,-82.38,-33.51,-1.19,0.47
2023-05-11 23:00:00,-81.25,-33.9,-1.5,0.69
2023-05-11 23:30:00,-80.59,-34.75,-5.08,1.55
